subid,xd,xv,choice,cond,choice_category,trial
15121107,12,0,4,1,3,20
15121107,7,5,0,1,1,21
15121107,11,1,2,1,2,22
15121107,7,5,0,2,1,23
15121107,12,0,4,1,3,24
15121107,10,2,2,2,2,25
15121107,6,6,0,2,1,26
15121107,12,0,2,2,2,27
15121107,10,2,2,2,2,28
15121107,6,6,0,1,1,29
15121107,11,1,2,2,2,30
15121107,7,5,0,2,1,31
15121107,6,6,0,2,1,32
15121107,10,2,2,1,2,33
15121107,7,5,0,2,1,34
15121107,10,2,2,1,2,35
15121107,6,6,0,1,1,36
15121107,12,0,4,1,3,37
15121107,7,5,0,1,1,38
15121107,7,5,0,1,1,39
15121107,6,6,0,1,1,40
15121107,6,6,0,1,1,41
15121107,10,2,2,2,2,42
15121107,11,1,4,1,3,43
15121107,7,5,0,1,1,44
15121107,7,5,0,2,1,45
15121107,11,1,2,1,2,46
15121107,11,1,2,2,2,47
15121107,6,6,0,2,1,48
15121107,7,5,0,2,1,49
15121107,12,0,4,2,3,50
15121107,7,5,0,1,1,51
15121107,6,6,0,2,1,52
15121107,6,6,0,1,1,53
15121107,10,2,2,2,2,54
15121107,7,5,0,2,1,55
15121107,12,0,4,1,3,56
15121107,12,0,2,2,2,57
15121107,10,2,2,1,2,58
15121107,12,0,4,1,3,59
15121107,6,6,0,1,1,60
15121107,7,5,0,2,1,61
15121107,12,0,4,1,3,62
15121107,12,0,4,2,3,63
15121107,6,6,0,2,1,64
15121107,7,5,0,1,1,65
15121107,11,1,2,2,2,66
15121107,10,2,2,1,2,67
15121107,6,6,0,1,1,68
15121107,11,1,2,2,2,69
15121107,6,6,0,1,1,70
15121107,10,2,2,1,2,71
15121107,12,0,4,2,3,72
15121107,10,2,2,2,2,73
15121107,7,5,0,1,1,74
15121107,7,5,0,2,1,75
15121107,6,6,0,2,1,76
15121107,11,1,2,1,2,77
15121107,6,6,0,2,1,78
15121107,7,5,0,1,1,79
15121107,12,0,4,1,3,80
1512108,11,1,2,2,2,1
1512108,6,6,0,2,1,2
1512108,7,5,0,2,1,3
1512108,11,1,2,1,2,4
1512108,6,6,0,2,1,5
1512108,7,5,0,1,1,6
1512108,12,0,0,2,1,7
1512108,6,6,0,1,1,8
1512108,10,2,0,2,1,9
1512108,11,1,0,2,1,10
1512108,12,0,0,2,1,11
1512108,7,5,0,1,1,12
1512108,11,1,0,1,1,13
1512108,6,6,0,1,1,14
1512108,12,0,2,2,2,15
1512108,7,5,0,1,1,16
1512108,10,2,0,2,1,17
1512108,12,0,0,1,1,18
1512108,10,2,0,1,1,19
1512108,6,6,0,1,1,20
1512108,12,0,0,1,1,21
1512108,6,6,0,2,1,22
1512108,7,5,0,2,1,23
1512108,11,1,0,1,1,24
1512108,7,5,0,2,1,25
1512108,6,6,0,2,1,26
1512108,6,6,0,1,1,27
1512108,12,0,0,1,1,28
1512108,7,5,0,2,1,29
1512108,7,5,0,1,1,30
1512108,10,2,0,1,1,31
1512108,10,2,0,1,1,33
1512108,10,2,4,2,3,34
1512108,12,0,0,1,1,35
1512108,11,1,2,2,2,36
1512108,7,5,0,1,1,37
1512108,6,6,0,2,1,38
1512108,6,6,0,1,1,39
1512108,7,5,0,2,1,40
1512108,7,5,0,2,1,41
1512108,6,6,0,1,1,42
1512108,10,2,2,2,2,43
1512108,11,1,0,1,1,44
1512108,11,1,2,2,2,45
1512108,7,5,0,1,1,46
1512108,7,5,0,1,1,47
1512108,11,1,0,1,1,48
1512108,12,0,4,1,3,49
1512108,6,6,0,1,1,50
1512108,12,0,2,2,2,51
1512108,10,2,0,2,1,52
1512108,12,0,0,2,1,53
1512108,6,6,0,2,1,54
1512108,10,2,0,1,1,55
1512108,7,5,0,2,1,56
1512108,6,6,0,1,1,57
1512108,12,0,0,1,1,58
1512108,12,0,0,1,1,59
1512108,12,0,0,2,1,60
1512108,6,6,0,2,1,61
1512108,11,1,0,2,1,62
1512108,7,5,0,1,1,63
1512108,6,6,0,1,1,64
1512108,7,5,0,2,1,65
1512108,10,2,0,1,1,66
1512108,6,6,0,1,1,67
1512108,11,1,0,2,1,68
1512108,7,5,0,2,1,69
1512108,7,5,0,1,1,70
1512108,10,2,0,1,1,71
1512108,6,6,0,2,1,72
1512108,11,1,0,1,1,73
1512108,12,0,0,1,1,74
1512108,7,5,0,2,1,75
1512108,6,6,0,2,1,76
