subjid,xd,xv,cond,val,aro,resp,fair,trial
1512110,2,10,1,2,8,5,3,34
1512110,5,7,1,6,4,1,8,35
1512110,2,10,1,2,8,5,7,36
1512110,0,12,1,1,9,9,1,37
1512110,1,11,2,1,8,9,1,38
1512110,5,7,1,6,4,2,8,39
1512110,6,6,1,9,1,1,9,40
1512110,6,6,1,9,1,1,9,41
1512110,1,11,1,2,8,6,2,42
1512110,5,7,2,4,5,2,8,43
1512110,2,10,2,1,7,9,2,44
1512110,1,11,2,1,9,9,3,45
1512110,1,11,1,2,8,8,3,46
1512110,0,12,2,1,9,9,1,47
1512110,0,12,1,1,9,9,1,48
1512110,5,7,1,6,4,7,8,49
1512110,2,10,2,1,8,7,2,50
1512110,5,7,1,6,4,3,7,51
1512110,0,12,2,1,9,9,1,52
1512110,6,6,2,9,2,1,9,53
1512110,5,7,2,6,3,2,8,54
1512110,2,10,1,2,8,8,2,55
1512110,0,12,1,1,9,9,1,56
1512110,0,12,1,1,9,9,1,57
1512110,6,6,1,9,1,1,9,58
1512110,0,12,2,1,9,9,1,59
1512110,2,10,1,2,8,8,2,60
1512110,6,6,2,9,3,1,9,61
1512110,6,6,1,9,1,1,9,62
1512110,1,11,2,1,8,8,2,63
1512110,5,7,2,6,5,2,8,64
1512110,5,7,1,6,4,1,9,65
1512110,6,6,1,9,1,1,9,66
1512110,1,11,2,2,8,9,1,67
1512110,5,7,2,6,5,2,8,68
1512110,2,10,1,2,8,8,2,69
1512110,0,12,2,1,9,9,1,70
1512110,6,6,2,9,1,1,9,71
1512110,6,6,1,9,1,1,9,72
1512110,5,7,1,6,4,2,8,73
1512110,5,7,2,7,4,1,9,74
1512110,6,6,2,9,1,1,9,75
1512110,1,11,1,2,8,8,2,76
1512110,6,6,2,9,1,1,9,77
1512110,0,12,1,1,9,9,1,78
1512110,2,10,2,2,7,8,2,79
1512110,5,7,1,6,4,2,8,80
1512111,5,7,2,4,6,1,2,1
1512111,2,10,2,2,8,2,4,2
1512111,6,6,2,4,5,1,9,3
1512111,6,6,1,4,5,1,9,4
1512111,1,11,2,3,8,6,3,5
1512111,5,7,2,4,6,1,6,6
1512111,1,11,1,3,7,7,2,7
1512111,5,7,1,4,6,2,5,8
1512111,0,12,2,2,9,7,1,9
1512111,1,11,1,3,8,6,2,10
1512111,2,10,2,3,7,6,3,11
1512111,0,12,1,2,8,8,1,12
1512111,0,12,2,3,8,8,1,13
1512111,2,10,1,3,8,7,2,14
1512111,0,12,2,3,7,9,1,15
1512111,6,6,2,5,5,6,6,16
1512111,5,7,1,4,6,3,6,17
1512111,5,7,2,4,6,3,7,18
1512111,6,6,1,5,5,1,9,19
1512111,0,12,1,3,8,8,3,20
1512111,6,6,1,7,5,1,9,21
1512111,0,12,1,3,8,8,2,22
1512111,5,7,2,3,7,7,6,23
1512111,2,10,1,2,8,7,2,24
1512111,1,11,2,3,8,8,2,25
1512111,6,6,2,5,5,1,9,26
1512111,1,11,2,3,8,8,2,27
1512111,0,12,2,1,9,9,1,28
1512111,5,7,1,5,5,7,7,29
1512111,2,10,2,3,8,8,2,30
1512111,5,7,2,3,8,5,6,31
1512111,6,6,2,5,3,1,9,32
1512111,2,10,1,3,8,8,2,33
1512111,6,6,2,6,5,6,9,34
1512111,1,11,1,2,8,8,2,35
1512111,6,6,1,6,5,1,9,36
1512111,0,12,1,2,9,9,1,37
1512111,6,6,1,5,5,8,6,38
1512111,5,7,1,4,6,5,6,39
1512111,5,7,1,5,5,5,6,40
1512111,5,7,1,5,4,5,6,41
1512111,1,11,2,3,9,8,2,42
1512111,1,11,1,2,8,8,2,43
1512111,6,6,1,6,5,1,9,44
1512111,6,6,2,6,5,1,9,45
1512111,1,11,1,2,8,7,2,46
1512111,0,12,2,2,9,9,1,47
1512111,5,7,2,5,5,5,6,48
1512111,6,6,2,6,3,1,9,49
1512111,2,10,2,4,8,7,3,50
1512111,5,7,1,4,5,5,6,51
1512111,6,6,2,6,4,1,9,52
1512111,6,6,1,6,2,1,9,53
1512111,1,11,2,3,8,8,2,54
1512111,5,7,2,4,5,5,6,55
1512111,0,12,1,1,9,9,1,56
1512111,0,12,2,2,9,9,1,57
1512111,2,10,1,3,9,8,2,58
1512111,0,12,1,1,9,9,1,59
1512111,5,7,1,2,6,5,6,60
1512111,5,7,2,5,6,5,6,61
1512111,1,11,1,3,8,8,2,62
1512111,0,12,2,3,9,9,1,63
1512111,6,6,2,6,5,1,9,64
1512111,6,6,1,6,5,1,9,65
1512111,2,10,2,2,8,8,2,66
1512111,0,12,1,1,9,9,1,67
1512111,6,6,1,6,5,1,9,68
1512111,0,12,2,2,9,9,1,69
1512111,5,7,1,5,5,5,6,70
1512111,2,10,1,3,7,8,2,71
1512111,2,10,2,4,7,8,2,72
1512111,1,11,2,2,8,8,2,73
1512111,5,7,1,4,5,5,6,74
1512111,5,7,2,5,4,5,6,75
1512111,6,6,2,6,4,9,9,76
1512111,2,10,1,3,8,8,2,77
1512111,5,7,2,4,5,5,6,78
1512111,6,6,1,5,4,1,9,79
1512111,0,12,1,1,9,9,1,80
1512113,1,11,1,3,7,8,1,1
1512113,1,11,1,3,7,8,2,2
1512113,2,10,2,3,7,8,2,3
1512113,5,7,2,8,1,2,8,4
1512113,1,11,2,3,7,8,2,5
1512113,6,6,1,9,1,1,9,6
1512113,0,12,2,1,9,9,1,7
1512113,5,7,1,8,1,2,8,8
1512113,6,6,2,9,1,1,9,9
1512113,5,7,1,8,1,2,8,10
1512113,6,6,1,9,1,1,9,11
1512113,2,10,2,3,7,8,2,12
1512113,5,7,2,8,1,2,8,13
1512113,6,6,2,9,1,1,9,14
1512113,0,12,1,1,9,9,1,15
1512113,2,10,1,3,7,8,2,16
1512113,0,12,2,1,9,9,1,17
1512113,5,7,2,8,1,2,8,18
1512113,6,6,1,9,1,1,9,19
1512113,0,12,2,1,9,9,1,20
1512113,1,11,2,3,7,8,2,21
1512113,5,7,1,8,1,2,8,22
1512113,6,6,1,9,1,1,9,23
1512113,0,12,1,1,9,9,1,24
1512113,5,7,2,8,1,2,8,25
1512113,0,12,1,1,9,9,1,26
1512113,2,10,1,3,7,8,2,27
1512113,1,11,2,3,7,8,2,28
1512113,6,6,1,9,1,1,9,29
1512113,6,6,2,9,1,1,9,30
1512113,5,7,2,8,1,2,8,31
1512113,2,10,1,3,7,8,2,32
1512113,5,7,1,8,1,2,8,33
1512113,5,7,1,8,1,2,8,34
1512113,0,12,2,1,9,9,1,35
1512113,1,11,1,3,7,8,2,36
1512113,6,6,2,9,1,1,9,37
1512113,2,10,2,3,7,8,2,38
1512113,6,6,2,9,1,1,9,39
1512113,0,12,1,1,9,9,1,40
1512113,5,7,1,8,1,2,8,41
1512113,6,6,2,9,1,1,9,42
1512113,6,6,1,9,1,1,9,43
1512113,5,7,2,8,1,2,8,44
1512113,1,11,2,3,7,8,2,45
1512113,1,11,1,3,7,8,2,46
1512113,1,11,1,3,7,8,2,47
1512113,6,6,2,9,1,1,9,48
1512113,5,7,1,8,1,2,8,49
1512113,0,12,2,1,9,9,1,50
1512113,2,10,2,3,7,8,2,51
1512113,0,12,1,1,9,9,1,52
1512113,2,10,1,2,7,8,2,53
1512113,1,11,2,2,8,8,2,54
1512113,0,12,1,1,9,9,1,55
1512113,1,11,1,2,8,8,2,56
1512113,0,12,2,1,9,9,1,57
1512113,6,6,2,9,1,1,9,58
1512113,5,7,2,8,1,2,8,59
1512113,0,12,2,1,9,9,1,60
1512113,0,12,1,1,9,9,1,61
1512113,5,7,2,8,1,2,8,62
1512113,6,6,2,9,1,1,9,63
1512113,2,10,1,3,7,8,2,64
1512113,5,7,2,8,1,2,8,65
1512113,2,10,2,3,7,8,2,66
1512113,6,6,1,9,1,1,9,67
1512113,0,12,2,1,9,9,1,68
1512113,5,7,1,8,1,8,8,69
1512113,2,10,2,2,7,8,2,70
1512113,6,6,1,9,1,1,9,71
1512113,6,6,2,9,1,1,9,72
1512113,6,6,1,9,1,1,9,73
1512113,2,10,1,9,8,8,2,74
1512113,0,12,1,1,9,9,1,75
1512113,1,11,2,2,8,8,2,76
1512113,5,7,2,8,1,2,8,77
1512113,5,7,1,8,1,2,8,78
1512113,5,7,1,8,1,2,8,79
1512113,6,6,1,9,1,1,9,80
1512114,2,10,2,6,2,2,3,1
1512114,1,11,1,5,3,2,4,2
1512114,1,11,2,6,2,2,6,3
1512114,0,12,2,2,7,8,1,4
1512114,1,11,1,5,3,3,3,5
1512114,6,6,1,8,2,1,9,6
1512114,5,7,2,7,2,2,7,7
1512114,6,6,2,9,1,1,9,8
1512114,2,10,2,5,4,2,5,9
1512114,5,7,2,7,2,2,6,10
1512114,6,6,2,9,1,1,1,11
1512114,0,12,1,2,7,8,1,12
1512114,5,7,1,5,4,2,8,13
1512114,2,10,1,4,4,2,6,14
1512114,5,7,1,7,3,2,8,15
1512114,5,7,2,6,3,2,8,16
1512114,0,12,1,2,8,9,1,17
1512114,0,12,2,3,6,9,1,18
1512114,0,12,1,3,7,9,1,19
1512114,5,7,2,7,3,2,8,20
1512114,6,6,2,8,2,1,9,21
1512114,0,12,2,2,8,9,1,22
1512114,1,11,2,3,6,7,4,23
1512114,1,11,2,5,4,7,3,24
1512114,5,7,2,5,5,2,8,25
1512114,6,6,2,8,2,1,9,26
1512114,6,6,1,9,1,1,9,27
1512114,2,10,1,4,3,2,7,28
1512114,6,6,2,8,1,1,9,29
1512114,6,6,1,9,1,1,9,30
1512114,5,7,1,5,2,2,8,31
1512114,0,12,2,2,7,9,1,32
1512114,6,6,1,9,1,1,9,33
1512114,2,10,1,6,3,2,6,34
1512114,6,6,1,9,1,1,9,35
1512114,1,11,1,4,5,2,5,36
1512114,0,12,1,2,7,9,1,37
1512114,2,10,2,4,4,2,6,38
1512114,5,7,1,7,2,2,8,39
1512114,5,7,1,8,3,2,8,40
1512114,5,7,1,7,2,2,8,41
1512114,1,11,1,4,6,2,5,42
1512114,6,6,2,8,1,1,9,43
1512114,1,11,2,3,5,2,5,44
1512114,0,12,2,2,8,9,1,45
1512114,1,11,1,4,4,2,4,46
1512114,2,10,2,4,5,2,7,47
1512114,0,12,1,2,8,9,1,48
1512114,6,6,1,9,1,1,9,49
1512114,1,11,2,3,4,2,5,50
1512114,5,7,1,8,2,2,8,51
1512114,0,12,2,2,8,9,1,52
1512114,5,7,2,6,3,2,8,53
1512114,6,6,2,8,2,1,9,54
1512114,2,10,1,5,4,2,6,55
